subject,support,n_errors,error_rate
2,7767,612,0.07879490150637311
3,7903,2366,0.2993799822852081
4,7943,713,0.08976457257962986
5,8151,2293,0.28131517605201817
6,8091,1840,0.2274131751328637
7,8075,579,0.07170278637770898
8,8119,1305,0.16073408055179209
9,8071,973,0.12055507372072853
10,8391,1019,0.1214396377070671
11,8195,432,0.0527150701647346
13,8187,1782,0.21766214730670574
14,8191,2316,0.2827493590526187
15,8215,828,0.10079123554473524
16,8167,142,0.017387045426717276
17,8387,1666,0.19864075354715632
