subject,support,n_errors,error_rate
2,7767,2256,0.29045963692545385
3,7903,4528,0.5729469821586739
4,7943,721,0.09077174870955558
5,8151,5013,0.6150165623849835
6,8091,3154,0.3898158447657891
7,8075,2137,0.2646439628482972
8,8119,3483,0.4289937184382313
9,8071,1834,0.22723330442324371
10,8391,2432,0.2898343463234418
11,8195,1656,0.2020744356314826
13,8187,1557,0.19017955294979846
14,8191,3973,0.48504456110365035
15,8215,1421,0.17297626293365795
16,8167,2106,0.25786702583568016
17,8387,3034,0.3617503278883987
