subject,accuracy,balanced_accuracy,macro_f1,support
2,0.7095403630745462,0.5752504818690244,0.5605187332657259,7767
3,0.4270530178413261,0.3748611662422309,0.3781763548487153,7903
4,0.9092282512904444,0.8691710103171241,0.8966886716032354,7943
5,0.3849834376150166,0.37890266727649724,0.32515956671088075,8151
6,0.6101841552342109,0.5279432135489462,0.5155382068659212,8091
7,0.7353560371517028,0.5787264965948992,0.551475751465201,8075
8,0.5710062815617687,0.5534730669494127,0.5527055301608492,8119
9,0.7727666955767563,0.7120109246086764,0.7088800143045799,8071
10,0.7101656536765583,0.552870313598499,0.5470264161281615,8391
11,0.7979255643685174,0.6546137968693406,0.6352764347268455,8195
13,0.8098204470502015,0.6380278723838998,0.5897637297788852,8187
14,0.5149554388963496,0.5612289161884454,0.42499626892807,8191
15,0.827023737066342,0.8013520181901792,0.7778143865089399,8215
16,0.7421329741643198,0.8319646960625434,0.7421889477939391,8167
17,0.6382496721116013,0.5459586510586586,0.5598356624512365,8387
