binary_accuracy,binary_precision,binary_recall,binary_f1,binary_specificity,binary_support_positive,binary_support_negative,subject,support
0.8157366993039991,0.9706498951781971,0.37642276422764226,0.5424721734036321,0.9953465181984378,2460,6017,2,8477
0.7366771159874608,0.5373975409836066,0.81953125,0.6491336633663366,0.7016355526185363,2560,6053,3,8613
0.9693747833121461,0.9165140974002197,0.9854330708661417,0.9497249098842724,0.9627024374284312,2540,6113,4,8653
0.6094120302448933,0.2889314805941543,0.23372093023255813,0.2584101135633169,0.7637318898264608,2580,6281,5,8861
0.6773093966594705,0.4711815561959654,0.7546153846153846,0.5801301005322295,0.6448959845186261,2600,6201,6,8801
0.8614684120660216,0.6937950937950937,0.9390625,0.7980082987551868,0.8295582329317269,2560,6225,7,8785
0.9415562351342168,0.8428390367553865,0.9925373134328358,0.9115832762165867,0.9193364774760123,2680,6149,8,8829
0.7733743309418062,0.8734177215189873,0.26744186046511625,0.4094955489614243,0.9838735687792292,2580,6201,9,8781
0.8764970882320624,0.9586776859504132,0.64,0.7675765095119934,0.9870988550233833,2900,6201,10,9101
0.8777091521617069,0.7455585666967781,0.9102941176470588,0.8197318324780666,0.8633791430881164,2720,6185,11,8905
0.9272788580420367,0.8046709129511678,0.9988704819277109,0.8913153032084663,0.8968114084281366,2656,6241,13,8897
0.8287897798562792,0.9934156378600824,0.447037037037037,0.616602809706258,0.9986813911323553,2700,6067,14,8767
0.8608403361344538,0.923337091319053,0.5969387755102041,0.7250996015936255,0.9779970878498625,2744,6181,15,8925
0.977131913934888,0.9972033559728326,0.9271916790490342,0.9609239653512993,0.9988682295877122,2692,6185,16,8877
0.5058810596900077,0.3709547576879729,0.7966804979253111,0.5062067450291112,0.3703464947622885,2892,6205,17,9097
