binary_accuracy,binary_precision,binary_recall,binary_f1,binary_specificity,binary_support_positive,binary_support_negative,subject,support
0.8774163130598774,0.9823369565217391,0.5878048780487805,0.7355035605289929,0.9956839309428951,2460,6024,2,8484
0.7208816705336427,0.5245692405871091,0.6421875,0.5774499473129611,0.7541254125412541,2560,6060,3,8620
0.9638568129330254,0.9509923045767518,0.9244094488188976,0.9375124775404272,0.9802287581699346,2540,6120,4,8660
0.8240866035182679,0.8840361445783133,0.45503875968992247,0.6008188331627431,0.9755089058524173,2580,6288,5,8868
0.5055631244323342,0.17892425905598244,0.18807692307692309,0.18338646165385336,0.6385309278350515,2600,6208,6,8808
0.8718152866242038,0.756350626118068,0.82578125,0.7895424836601307,0.8907252888318357,2560,6232,7,8792
0.6682888184698959,0.4552265429896539,0.4761194029850746,0.465438628488054,0.7519493177387915,2680,6156,8,8836
0.8676604460628129,0.9862731640356898,0.5569767441860465,0.7119147882090662,0.9967783505154639,2580,6208,9,8788
0.94433465085639,0.9238398866454127,0.8993103448275862,0.9114100995981129,0.9653672680412371,2900,6208,10,9108
0.8172127468581688,0.6277218450011707,0.9856617647058824,0.7669861250178801,0.7432170542635659,2720,6192,11,8912
0.8323225516621743,0.8382780686445608,0.5425451807228916,0.6587428571428572,0.95550576184379,2656,6248,13,8904
0.7981536357419649,0.9226569608735213,0.37555555555555553,0.533824690708081,0.9860059269015475,2700,6074,14,8774
0.8284818629646216,0.9570135746606335,0.46246355685131196,0.6235872235872236,0.9907886231415644,2744,6188,15,8932
0.9954975236380009,0.9871418074944893,0.9981426448736999,0.9926117473217584,0.9943475452196382,2692,6192,16,8884
0.7002416520210897,0.5165684082130514,0.8786307053941909,0.6506209192164896,0.6171925305859627,2892,6212,17,9104
