subject,accuracy,precision,recall,f1,support
2,0.6050489559985844,0.6336608106606909,0.6050489559985844,0.5605774654745843,8477
3,0.6031580169511204,0.611804028454069,0.6031580169511204,0.5898780551766533,8613
4,0.931237721021611,0.9327186082646789,0.931237721021611,0.9292291880835701,8653
5,0.5413610202008803,0.4296317850573155,0.5413610202008803,0.47467317970593725,8861
6,0.5856152709919328,0.5982537433060706,0.5856152709919328,0.5705234346608955,8801
7,0.7211155378486056,0.6189381036256553,0.7211155378486056,0.664113522238335,8785
8,0.7367765318835655,0.6375591298472861,0.7367765318835655,0.6832470302469332,8829
9,0.7315795467486619,0.7710649878199493,0.7315795467486619,0.6930655000528526,8781
10,0.6915723546862982,0.6821370825782506,0.6915723546862982,0.6582801695722591,9101
11,0.8770353733857383,0.8941791572705889,0.8770353733857383,0.8716739665361956,8905
13,0.784758907496909,0.6552748187529909,0.784758907496909,0.7140598195146524,8897
14,0.5588000456256416,0.704413726181172,0.5588000456256416,0.568038380430912,8767
15,0.8374229691876751,0.8904352505146803,0.8374229691876751,0.8442028452267865,8925
16,0.7179227216401938,0.8500814068479762,0.7179227216401938,0.7351485264107411,8877
17,0.5058810596900077,0.5672371510227029,0.5058810596900077,0.4843260206068369,9097
