subject,accuracy,precision,recall,f1,support
2,0.5380716643092881,0.6256215786203103,0.5380716643092881,0.5360802422000414,8484
3,0.5178654292343388,0.4972418966733416,0.5178654292343388,0.4951446033569735,8620
4,0.9317551963048499,0.9375860252970939,0.9317551963048499,0.929706793213218,8660
5,0.5719440685611187,0.5179861158014494,0.5719440685611187,0.5068389631110842,8868
6,0.5673251589464123,0.5024117023638577,0.5673251589464123,0.529806945038365,8808
7,0.7090536851683349,0.666258620445098,0.7090536851683349,0.6774400040234464,8792
8,0.6252829334540516,0.5855326769272062,0.6252829334540516,0.6016706507139628,8836
9,0.7230314064633592,0.7887667094999578,0.7230314064633592,0.6943704081785363,8788
10,0.7021299956082565,0.6563771860194303,0.7021299956082565,0.6545902761233033,9108
11,0.9153949730700179,0.9212858988772716,0.9153949730700179,0.9135219041698938,8912
13,0.7529200359389039,0.6254474859356688,0.7529200359389039,0.682254178986797,8904
14,0.6699338956006382,0.7512004353702966,0.6699338956006382,0.6701509849988535,8774
15,0.8771831616659203,0.9094275714127217,0.8771831616659203,0.8816236124475384,8932
16,0.7431337235479514,0.8434201478972622,0.7431337235479514,0.7619242640985696,8884
17,0.6078646748681898,0.6548803719752483,0.6078646748681898,0.567601365865618,9104
