subject,accuracy,precision,recall,f1,support
2,0.621994342291372,0.6134434875579238,0.621994342291372,0.5936154984148022,8484
3,0.5097447795823666,0.5017454000135021,0.5097447795823666,0.5031043396460926,8620
4,0.8454965357967668,0.8629182944464281,0.8454965357967668,0.8211665789195915,8660
5,0.6506540369869193,0.612015695547014,0.6506540369869193,0.5925557143817762,8868
6,0.45958219800181654,0.43977244064901694,0.45958219800181654,0.42531847812117535,8808
7,0.7295268425841674,0.6611723980518871,0.7295268425841674,0.6706135196805878,8792
8,0.44545043005885016,0.4750933403882501,0.44545043005885016,0.45892029958047903,8836
9,0.8219162494310424,0.8465629089072945,0.8219162494310424,0.8120993553116361,8788
10,0.7302371541501976,0.6562554399512929,0.7302371541501976,0.688963867940633,9108
11,0.8062163375224417,0.8070858381864892,0.8062163375224417,0.7607212400435378,8912
13,0.6594788858939802,0.5796255596879523,0.6594788858939802,0.5930321118584894,8904
14,0.7311374515614315,0.7711901481056064,0.7311374515614315,0.7081643425458183,8774
15,0.7566054635020152,0.8367748943793296,0.7566054635020152,0.7609550116172318,8932
16,0.7497748761819001,0.8016630225169267,0.7497748761819001,0.765458847740518,8884
17,0.6113796133567663,0.7209017372574206,0.6113796133567663,0.6147328927282427,9104
