feature,importance_mean,importance_std
bvp_hr_std,0.11171626130410495,0.00026042846143392584
bvp_hr_mean,0.06761704183462414,0.00046424203994743785
bvp_peak_count,0.0571055452390658,0.00046801636547549874
acc_y_mean,0.040189018222443695,5.284055739240845e-05
acc_x_mean,0.035776831680178756,0.00014719869559309817
acc_x_max,0.034954028715068586,0.00026042846143392584
acc_y_max,0.02891133354469555,0.00011322976584082767
acc_x_min,0.02729592221869953,5.284055739235294e-05
acc_z_max,0.022785603212705896,0.0004793393420596259
acc_mag_range,0.02185334480728296,0.0001056811147848169
acc_z_min,0.02093995802950016,0.0007095731992692866
acc_y_min,0.012145779549194546,6.79378595044855e-05
eda_num_scr_peaks,0.011190875190603466,0.0004793393420595704
acc_z_mean,0.011190875190603411,2.6420278696204225e-05
acc_z_range,0.009967993719522339,4.1517580808336785e-05
bvp_hrv_lf_hf_ratio,0.008167640442652946,9.058381267268434e-05
bvp_hrv_mean_nn,0.007507133475247951,0.00015474734664916445
acc_x_range,0.0072278333861738875,7.171218503249088e-05
acc_mag_max,0.004676389329226871,8.680948714467895e-05
acc_z_std,0.0041140148255506825,6.038920844847473e-05
acc_y_range,0.004102691848966611,7.926083608855716e-05
temp_max,0.0035931579026827754,5.284055739240845e-05
temp_mean,0.003219499675408022,1.1322976584127176e-05
temp_min,0.0028873590289415496,3.7743255280053845e-06
eda_max,0.0018531938342618015,6.416353397648011e-05
acc_x_std,0.0014342437006507058,5.284055739240845e-05
acc_y_std,0.0009964219393994167,5.284055739240845e-05
bvp_hrv_std_nn,0.0009171611033108595,7.17121850325464e-05
bvp_hrv_rmssd,0.0007737367332457668,5.6614882920413834e-05
acc_mag_std,0.0002793000890740638,7.548651056055178e-05
acc_mag_min,0.0001396500445370319,6.416353397648011e-05
eda_range,2.6420278696204225e-05,1.8871627640193456e-05
eda_std,1.1322976584071665e-05,3.7743255280608956e-06
temp_range,1.1322976584071665e-05,3.7743255280608956e-06
eda_scr_std,7.54865105606628e-06,7.54865105606628e-06
eda_scr_mean,7.548651056010769e-06,0.0
eda_scl_std,7.548651056010769e-06,0.0
bvp_hrv_hf,3.7743255280053845e-06,3.7743255280053845e-06
acc_y_peak_freq,3.7743255280053845e-06,3.7743255280053845e-06
temp_std,3.7743255280053845e-06,3.7743255280053845e-06
bvp_hrv_uhf,3.7743255280053845e-06,3.7743255280053845e-06
acc_x_peak_freq,0.0,0.0
acc_mag_peak_freq,0.0,0.0
bvp_hrv_ulf,0.0,0.0
acc_z_peak_freq,0.0,0.0
acc_mag_mean,-3.7743255280053845e-06,3.7743255280053845e-06
bvp_hrv_sampen,-7.54865105606628e-06,1.5097302112077049e-05
bvp_hrv_lf,-3.3968929752270505e-05,7.17121850325464e-05
eda_scl_mean,-3.3968929752270505e-05,5.6614882920413834e-05
eda_mean,-4.529190633634217e-05,2.264595316819884e-05
eda_min,-0.00016229599770517522,0.000101906789256756
