subject,support,n_errors,error_rate,misclass_details
2,7767,612,0.0788,true=0 [pred→1:266]; true=1 [pred→0:346]
3,7903,2366,0.2994,true=0 [pred→1:982]; true=1 [pred→0:1384]
4,7943,713,0.0898,true=1 [pred→0:713]
5,8151,2293,0.2813,true=0 [pred→1:2136]; true=1 [pred→0:157]
6,8091,1840,0.2274,true=0 [pred→1:597]; true=1 [pred→0:1243]
7,8075,579,0.0717,true=0 [pred→1:264]; true=1 [pred→0:315]
8,8119,1305,0.1607,true=0 [pred→1:72]; true=1 [pred→0:1233]
9,8071,973,0.1206,true=0 [pred→1:85]; true=1 [pred→0:888]
10,8391,1019,0.1214,true=0 [pred→1:33]; true=1 [pred→0:986]
11,8195,432,0.0527,true=0 [pred→1:271]; true=1 [pred→0:161]
13,8187,1782,0.2177,true=0 [pred→1:1751]; true=1 [pred→0:31]
14,8191,2316,0.2827,true=0 [pred→1:4]; true=1 [pred→0:2312]
15,8215,828,0.1008,true=0 [pred→1:128]; true=1 [pred→0:700]
16,8167,142,0.0174,true=0 [pred→1:45]; true=1 [pred→0:97]
17,8387,1666,0.1986,true=0 [pred→1:741]; true=1 [pred→0:925]
