subject,support,n_errors,error_rate,misclass_details
2,7767,539,0.0694,true=0 [pred→1:386]; true=1 [pred→0:153]
3,7903,2461,0.3114,true=0 [pred→1:1155]; true=1 [pred→0:1306]
4,7943,698,0.0879,true=1 [pred→0:698]
5,8151,2658,0.3261,true=0 [pred→1:2478]; true=1 [pred→0:180]
6,8091,2433,0.3007,true=0 [pred→1:1365]; true=1 [pred→0:1068]
7,8075,641,0.0794,true=0 [pred→1:186]; true=1 [pred→0:455]
8,8119,1151,0.1418,true=0 [pred→1:82]; true=1 [pred→0:1069]
9,8071,788,0.0976,true=0 [pred→1:84]; true=1 [pred→0:704]
10,8391,1051,0.1253,true=0 [pred→1:46]; true=1 [pred→0:1005]
11,8195,451,0.055,true=0 [pred→1:339]; true=1 [pred→0:112]
13,8187,1939,0.2368,true=0 [pred→1:1939]
14,8191,2177,0.2658,true=0 [pred→1:4]; true=1 [pred→0:2173]
15,8215,858,0.1044,true=0 [pred→1:189]; true=1 [pred→0:669]
16,8167,181,0.0222,true=0 [pred→1:82]; true=1 [pred→0:99]
17,8387,1821,0.2171,true=0 [pred→1:946]; true=1 [pred→0:875]
