subject,support,n_errors,error_rate,misclass_details
2,7767,1897,0.2442,"true=1 [pred→3:208, pred→2:172]; true=2 [pred→1:254, pred→3:66]; true=3 [pred→1:1108, pred→2:89]"
3,7903,4346,0.5499,"true=1 [pred→2:1129, pred→3:737]; true=2 [pred→1:764, pred→3:561]; true=3 [pred→1:1093, pred→2:62]"
4,7943,1217,0.1532,"true=1 [pred→2:8]; true=2 [pred→1:520, pred→3:9]; true=3 [pred→1:493, pred→2:187]"
5,8151,4487,0.5505,"true=1 [pred→3:1725, pred→2:1341]; true=2 [pred→1:189, pred→3:2]; true=3 [pred→2:1207, pred→1:23]"
6,8091,2949,0.3645,"true=1 [pred→2:535, pred→3:294]; true=2 [pred→1:934, pred→3:9]; true=3 [pred→1:831, pred→2:346]"
7,8075,2251,0.2788,"true=1 [pred→2:415, pred→3:210]; true=2 [pred→1:377]; true=3 [pred→1:1183, pred→2:66]"
8,8119,3255,0.4009,"true=1 [pred→3:1378, pred→2:61]; true=2 [pred→1:876, pred→3:158]; true=3 [pred→1:770, pred→2:12]"
9,8071,2077,0.2573,"true=1 [pred→3:124, pred→2:113]; true=2 [pred→3:629, pred→1:94]; true=3 [pred→1:1117]"
10,8391,2282,0.272,"true=1 [pred→3:435, pred→2:71]; true=2 [pred→1:527]; true=3 [pred→1:1249]"
11,8195,1505,0.1836,"true=1 [pred→2:131, pred→3:41]; true=2 [pred→1:116]; true=3 [pred→1:1078, pred→2:139]"
13,8187,1559,0.1904,"true=1 [pred→2:207]; true=2 [pred→1:63]; true=3 [pred→1:1022, pred→2:267]"
14,8191,4106,0.5013,"true=1 [pred→3:1678]; true=2 [pred→1:2020, pred→3:373]; true=3 [pred→1:35]"
15,8215,1552,0.1889,"true=1 [pred→3:132, pred→2:14]; true=2 [pred→3:467, pred→1:463]; true=3 [pred→1:474, pred→2:2]"
16,8167,1859,0.2276,true=1 [pred→3:1715]; true=2 [pred→1:88]; true=3 [pred→1:56]
17,8387,3133,0.3736,"true=1 [pred→2:495, pred→3:275]; true=2 [pred→1:1272, pred→3:38]; true=3 [pred→1:955, pred→2:98]"
