subject,accuracy,precision,recall,f1,support
2,0.7095403630745462,0.665521010265671,0.7095403630745462,0.6857765810462854,7767
3,0.4270530178413261,0.4845307031476421,0.4270530178413261,0.45043049150574455,7903
4,0.9092282512904444,0.9149880223845787,0.9092282512904444,0.9069159681932952,7943
5,0.3849834376150166,0.6137499081714987,0.3849834376150166,0.3756076665094057,8151
6,0.6101841552342109,0.6056937430154005,0.6101841552342109,0.6039917613211422,8091
7,0.7353560371517028,0.6542908942368107,0.7353560371517028,0.6868965133163585,8075
8,0.5710062815617687,0.6789486625044843,0.5710062815617687,0.6052159315508725,8119
9,0.7727666955767563,0.8133057172311426,0.7727666955767563,0.784304993850402,8071
10,0.7101656536765583,0.6737809223054746,0.7101656536765583,0.6851752273139645,8391
11,0.7979255643685174,0.7599300602259965,0.7979255643685174,0.7566238229988707,8195
13,0.8098204470502015,0.6841875783820178,0.8098204470502015,0.7410581335592029,8187
14,0.5149554388963496,0.6910801862062633,0.5149554388963496,0.46040001885899384,8191
15,0.827023737066342,0.8787330536125044,0.827023737066342,0.8376060277055994,8215
16,0.7421329741643198,0.8874273189848509,0.7421329741643198,0.7628739487570894,8167
17,0.6382496721116013,0.6310938564469413,0.6382496721116013,0.6279366232568744,8387
